drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Gray,,,"Janesville, WI",Acura,"34,267",TLX,FWD,,2015 Acura TLX,"$19,999",,https://www.truecar.com/used-cars-for-sale/listing/19UUB1F33FA005409/2015-acura-tlx/,19UUB1F33FA005409,2015
,,Satin Silver Metallic,,Ebony,"MADISON, WI",Acura,"188,055",RSX,Automatic,,2002 Acura RSX,"$3,000",,https://www.truecar.com/used-cars-for-sale/listing/JH4DC54822C013015/2002-acura-rsx/,JH4DC54822C013015,2002
,,Blue,,Black,"Madison, WI",Acura,"224,125",RL,Automatic,,2005 Acura RL,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/JH4KB16525C000811/2005-acura-rl/,JH4KB16525C000811,2005
,,Satin Silver Metallic,,Ebony,"Middleton, WI",Acura,"123,390",TSX,Automatic,,2005 Acura TSX,"$7,900",,https://www.truecar.com/used-cars-for-sale/listing/JH4CL96895C010987/2005-acura-tsx/,JH4CL96895C010987,2005
,,Jade Green Metallic,,Titanium,"Middleton, WI",Acura,"64,565",RSX,Automatic,,2005 Acura RSX,"$8,900",,https://www.truecar.com/used-cars-for-sale/listing/JH4DC54875S007169/2005-acura-rsx/,JH4DC54875S007169,2005
,,Palladium Metallic,,Ebony,"Middleton, WI",Acura,"109,350",TL,4dr Sedan 2WD Tech,,2010 Acura TL,"$13,900",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F56AA016071/2010-acura-tl/,19UUA8F56AA016071,2010
,,Billet Silver Metallic,,Ebony,"Middleton, WI",Acura,"103,878",MDX,AWD 4dr,,2009 Acura MDX,"$13,980",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD282X9H527894/2009-acura-mdx/,2HNYD282X9H527894,2009
,,Black,,Parchment,"MADISON, WI",Acura,"31,051",TSX,5-Speed Automatic,,2013 Acura TSX,"$15,777",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F46DC011398/2013-acura-tsx/,JH4CU2F46DC011398,2013
,,Gold,,,"Janesville, WI",Honda,"167,796",Odyssey,EX,,2004 Honda Odyssey,"$4,499",,https://www.truecar.com/used-cars-for-sale/listing/5FNRL18644B100929/2004-honda-odyssey/,5FNRL18644B100929,2004
,,Palladium Metallic,,Ebony,"Middleton, WI",Acura,"118,253",MDX,AWD 4dr,,2011 Acura MDX,"$17,995",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD2H26BH541068/2011-acura-mdx/,2HNYD2H26BH541068,2011
,,Crystal Black Pearl,,Ebony,"Madison, WI",Acura,"83,625",MDX,AWD 4dr,,2011 Acura MDX,"$18,873",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD2H29BH505777/2011-acura-mdx/,2HNYD2H29BH505777,2011
,,White Diamond Pearl,,Parchment,"Middleton, WI",Acura,"97,967",MDX,AWD with Technology and Entertainment Package,,2015 Acura MDX,"$24,980",,https://www.truecar.com/used-cars-for-sale/listing/5FRYD4H64FB011177/2015-acura-mdx/,5FRYD4H64FB011177,2015
,,Grey,,Gray W/Cloth Seat Trim,"JANESVILLE, WI",Honda,"128,085",Civic,LX,,2009 Honda Civic,"$6,995",,https://www.truecar.com/used-cars-for-sale/listing/19XFA16529E038639/2009-honda-civic/,19XFA16529E038639,2009
,,Black,,,"Janesville, WI",Honda,"164,821",Accord,EX-L,,2008 Honda Accord,"$7,792",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP36848A045876/2008-honda-accord/,1HGCP36848A045876,2008
,,Silver,,Gray,"Delavan, WI",Honda,"178,563",CR-V,LX,,2010 Honda CR-V,"$7,994",,https://www.truecar.com/used-cars-for-sale/listing/5J6RE4H35AL011858/2010-honda-cr-v/,5J6RE4H35AL011858,2010
,,Slate Silver Metallic,,Graystone,"Middleton, WI",Acura,"10,780",TLX,FWD with Technology Package,,2015 Acura TLX,"$24,985",,https://www.truecar.com/used-cars-for-sale/listing/19UUB1F54FA002617/2015-acura-tlx/,19UUB1F54FA002617,2015
,,Silver,,Ebony,"Madison, WI",Acura,"34,155",RDX,AWD,,2015 Acura RDX,"$25,399",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB4H32FL005447/2015-acura-rdx/,5J8TB4H32FL005447,2015
,,Modern Steel Metallic,,Ebony,"Middleton, WI",Acura,"3,983",ILX,Technology Plus Package,,2017 Acura ILX,"$27,900",,https://www.truecar.com/used-cars-for-sale/listing/19UDE2F75HA007293/2017-acura-ilx/,19UDE2F75HA007293,2017
,,Nighthawk Black Pearl,,Black,"Delavan, WI",Honda,"120,607",CR-V,LX,,2003 Honda CR-V,"$8,356",,https://www.truecar.com/used-cars-for-sale/listing/JHLRD78403C025790/2003-honda-cr-v/,JHLRD78403C025790,2003
,,Blue,,,"Janesville, WI",Honda,"138,355",Accord,EX-L,,2009 Honda Accord,"$8,997",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP26879A065793/2009-honda-accord/,1HGCP26879A065793,2009
,,Garnet Red,,Gray,"Milwaukee, WI",Mazda,"190,324",Protege,LX,,2003 Mazda Protege,"$2,333",,https://www.truecar.com/used-cars-for-sale/listing/JM1BJ225830140991/2003-mazda-protege/,JM1BJ225830140991,2003
,,Silver Moon,,Ebony,"Middleton, WI",Acura,"34,825",RDX,AWD with Technology Package,,2015 Acura RDX,"$28,900",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB4H56FL023838/2015-acura-rdx/,5J8TB4H56FL023838,2015
,,Fathom Blue Pearl,,Graystone,"Middleton, WI",Acura,"8,528",TLX,FWD with Technology Package,,2017 Acura TLX,"$28,995",,https://www.truecar.com/used-cars-for-sale/listing/19UUB1F52HA003509/2017-acura-tlx/,19UUB1F52HA003509,2017
,,Black,,,"Brookfield, WI",Acura,"179,280",MDX,4WD Touring with Navigation,,2002 Acura MDX,"$3,995",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD18832H507880/2002-acura-mdx/,2HNYD18832H507880,2002
,,Gray,,,"Janesville, WI",Honda,"83,891",Accord,EX,,2008 Honda Accord,"$9,744",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP36708A042089/2008-honda-accord/,1HGCP36708A042089,2008
,,Black,,,"Janesville, WI",Honda,"145,030",Pilot,SE,,2008 Honda Pilot,"$9,984",,https://www.truecar.com/used-cars-for-sale/listing/5FNYF18348B049737/2008-honda-pilot/,5FNYF18348B049737,2008
,,Black,,,"Janesville, WI",Honda,"104,394",Accord,EX-L,,2011 Honda Accord,"$10,921",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP2F8XBA028999/2011-honda-accord/,1HGCP2F8XBA028999,2011
,,Lapis Blue,,Gray,"Milwaukee, WI",Mazda,"157,209",B-Series,SE,,2004 Mazda B-Series,"$3,222",,https://www.truecar.com/used-cars-for-sale/listing/4F4ZR47E04TM08662/2004-mazda-b-series/,4F4ZR47E04TM08662,2004
,,Silver,,Gray,"Milwaukee, WI",Mazda,"155,890",Mazda6,i,,2005 Mazda Mazda6,"$3,333",,https://www.truecar.com/used-cars-for-sale/listing/1YVHP80C055M34611/2005-mazda-mazda6/,1YVHP80C055M34611,2005
,,Blue,,Black/Blue,"Milwaukee, WI",Mazda,"102,332",Mazda3,Grand Touring,,2006 Mazda Mazda3,"$4,444",,https://www.truecar.com/used-cars-for-sale/listing/JM1BK123061429433/2006-mazda-mazda3/,JM1BK123061429433,2006
,,Gold,,Beige,"Madison, WI",Mazda,"179,982",Mazda6,s,,2005 Mazda Mazda6,"$3,635",,https://www.truecar.com/used-cars-for-sale/listing/1YVHP82D755M67420/2005-mazda-mazda6/,1YVHP82D755M67420,2005
,,Red,,Ebony,"Milwaukee, WI",Acura,"119,464",CL,Type-S Automatic,,2003 Acura CL,"$4,111",,https://www.truecar.com/used-cars-for-sale/listing/19UYA42603A009077/2003-acura-cl/,19UYA42603A009077,2003
,,Brn-Twells,,Ebony,"Milwaukee, WI",Acura,"146,122",MDX,4WD Touring,,2004 Acura MDX,"$4,844",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD18644H508974/2004-acura-mdx/,2HNYD18644H508974,2004
,,Alabaster Silver Metallic,,Ebony,"Racine, WI",Acura,"117,268",TL,Automatic,,2006 Acura TL,"$5,500",,https://www.truecar.com/used-cars-for-sale/listing/19UUA66216A072405/2006-acura-tl/,19UUA66216A072405,2006
,,,,,"Delavan, WI",Honda,"135,057",CR-V,EX-L,,2010 Honda CR-V,"$12,428",,https://www.truecar.com/used-cars-for-sale/listing/JHLRE4H70AC013075/2010-honda-cr-v/,JHLRE4H70AC013075,2010
,,Silver,,,"Janesville, WI",Honda,"30,291",Civic,LX,,2015 Honda Civic,"$13,416",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F59FE016927/2015-honda-civic/,19XFB2F59FE016927,2015
,,Silver,,Gray,"Milwaukee, WI",Honda,"222,259",Civic,DX,,2003 Honda Civic,"$1,697",,https://www.truecar.com/used-cars-for-sale/listing/2HGES16163H589076/2003-honda-civic/,2HGES16163H589076,2003
,,Silver,,Dark Flint,"Milwaukee, WI",Mazda,"129,562",Tribute,ES,,2004 Mazda Tribute,"$4,444",,https://www.truecar.com/used-cars-for-sale/listing/4F2CZ06164KM16650/2004-mazda-tribute/,4F2CZ06164KM16650,2004
,,True Silver Metallic,,Black,"Mt Pleasant, WI",Mazda,"112,271",Mazda5,Touring,,2007 Mazda Mazda5,"$4,490",,https://www.truecar.com/used-cars-for-sale/listing/JM1CR293170146574/2007-mazda-mazda5/,JM1CR293170146574,2007
,,Silver,,Black,"Wauwatosa, WI",Mazda,"128,275",Mazda3,I Sport,,2011 Mazda Mazda3,"$4,768",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1UF7B1449368/2011-mazda-mazda3/,JM1BL1UF7B1449368,2011
,,Blue,,Black,"Madison, WI",Mazda,"107,016",Mazda5,Sport,,2007 Mazda Mazda5,"$4,500",,https://www.truecar.com/used-cars-for-sale/listing/JM1CR293470148528/2007-mazda-mazda5/,JM1CR293470148528,2007
,,Blue,,Black/Charcoal,"MADISON, WI",Mazda,"131,830",Mazda3,Grand Touring,,2006 Mazda Mazda3,"$4,900",,https://www.truecar.com/used-cars-for-sale/listing/JM1BK143961436846/2006-mazda-mazda3/,JM1BK143961436846,2006
,,Galaxy Gray Mica,,Black,"Madison, WI",Mazda,"117,621",Mazda5,Sport,,2010 Mazda Mazda5,"$6,014",,https://www.truecar.com/used-cars-for-sale/listing/JM1CR2WL2A0368200/2010-mazda-mazda5/,JM1CR2WL2A0368200,2010
,,Royal Blue Pearl,,Gray,"Brookfield, WI",Acura,"116,496",TL,Automatic,,2006 Acura TL,"$6,700",,https://www.truecar.com/used-cars-for-sale/listing/19UUA66266A005038/2006-acura-tl/,19UUA66266A005038,2006
,,Steel Blue Metallic,,,"Waukesha, WI",Acura,"140,636",MDX,4WD Touring,,2006 Acura MDX,"$6,786",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD18606H522146/2006-acura-mdx/,2HNYD18606H522146,2006
,,Tan,,,"Janesville, WI",Honda,"40,886",Civic,LX,,2014 Honda Civic,"$13,934",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F57EH545541/2014-honda-civic/,2HGFB2F57EH545541,2014
,,Gray,,,"Janesville, WI",Honda,"91,904",Accord,EX-L,,2013 Honda Accord,"$13,937",,https://www.truecar.com/used-cars-for-sale/listing/1HGCR3F8XDA003037/2013-honda-accord/,1HGCR3F8XDA003037,2013
,,Blue,,,"Janesville, WI",Honda,"41,065",Civic,LX,,2014 Honda Civic,"$13,953",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F52EE083500/2014-honda-civic/,19XFB2F52EE083500,2014
,,Signet Silver Metallic,,Quartz,"Milwaukee, WI",Honda,"165,801",Accord,EX,,2000 Honda Accord,"$1,874",,https://www.truecar.com/used-cars-for-sale/listing/1HGCG165XYA071151/2000-honda-accord/,1HGCG165XYA071151,2000
,,Silver,,Gray,"Sturtevant, WI",Honda,"165,876",Civic,LX,,2001 Honda Civic,"$2,944",,https://www.truecar.com/used-cars-for-sale/listing/1HGES16541L018737/2001-honda-civic/,1HGES16541L018737,2001
,,,,,"Brookfield, WI",Honda,"189,736",Civic,LX,,2005 Honda Civic,"$2,995",,https://www.truecar.com/used-cars-for-sale/listing/2HGES16575H627047/2005-honda-civic/,2HGES16575H627047,2005
,,Gray,,Black,"Sturtevant, WI",Mazda,"128,991",Mazda3,s,,2005 Mazda Mazda3,"$4,944",,https://www.truecar.com/used-cars-for-sale/listing/JM1BK343351279602/2005-mazda-mazda3/,JM1BK343351279602,2005
,,Silver,,Black,"Milwaukee, WI",Mazda,"129,359",CX-7,Sport,,2008 Mazda CX-7,"$5,222",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER293480177187/2008-mazda-cx-7/,JM3ER293480177187,2008
,,Tungsten Gray,,Gray,"Waukesha, WI",Mazda,"115,267",Mazda6,s,,2006 Mazda Mazda6,"$5,277",,https://www.truecar.com/used-cars-for-sale/listing/1YVHP80D065M41035/2006-mazda-mazda6/,1YVHP80D065M41035,2006
,,Black Mica,,Black,"Madison, WI",Mazda,"108,630",Mazda3,Grand Touring,,2010 Mazda Mazda3,"$6,990",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1SG2A1292021/2010-mazda-mazda3/,JM1BL1SG2A1292021,2010
,,Silver,,Black,"Madison, WI",Mazda,"57,104",Mazda2,Sport,,2013 Mazda Mazda2,"$8,601",,https://www.truecar.com/used-cars-for-sale/listing/JM1DE1KY4D0161680/2013-mazda-mazda2/,JM1DE1KY4D0161680,2013
,,Meteor Gray Mica,,Black,"Madison, WI",Mazda,"14,000",Mazda3,I Sport,,2016 Mazda Mazda3,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1U75G1328738/2016-mazda-mazda3/,JM1BM1U75G1328738,2016
,,Vivid Blue Pearl,,Ebony,"Milwaukee, WI",Acura,"95,907",RSX,Manual,,2005 Acura RSX,"$7,995",,https://www.truecar.com/used-cars-for-sale/listing/JH4DC53895S000032/2005-acura-rsx/,JH4DC53895S000032,2005
,,White,,Ebony,"Milwaukee, WI",Acura,"137,180",TL,with Technology Package,,2013 Acura TL,"$10,144",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F52DA013706/2013-acura-tl/,19UUA8F52DA013706,2013
,,Borealis Blue Pearl,,,"Waukesha, WI",Acura,"72,109",TL,4dr Sedan 2WD,,2009 Acura TL,"$10,888",,https://www.truecar.com/used-cars-for-sale/listing/19UUA86219A000975/2009-acura-tl/,19UUA86219A000975,2009
,,Modern Steel Metallic,,Black W/Cloth Seat Trim,"JANESVILLE, WI",Honda,"54,538",Accord,EX,,2015 Honda Accord,"$15,300",,https://www.truecar.com/used-cars-for-sale/listing/1HGCR2F76FA024102/2015-honda-accord/,1HGCR2F76FA024102,2015
,,Monte Carlo Blue Pearl,,Black,"Milwaukee, WI",Honda,"250,326",Insight,Manual with Air Conditioning,,2001 Honda Insight,"$3,333",,https://www.truecar.com/used-cars-for-sale/listing/JHMZE13701T001235/2001-honda-insight/,JHMZE13701T001235,2001
,,Satin Silver Metallic,,Gray,"Mt Pleasant, WI",Honda,"161,910",Civic,LX,,2002 Honda Civic,"$3,490",,https://www.truecar.com/used-cars-for-sale/listing/1HGES16502L030014/2002-honda-civic/,1HGES16502L030014,2002
,,Copper Red Mica,,Sand,"Milwaukee, WI",Mazda,"103,270",CX-7,Sport,,2008 Mazda CX-7,"$5,333",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER293380175480/2008-mazda-cx-7/,JM3ER293380175480,2008
,,Silver,,Black,"Sturtevant, WI",Mazda,"133,090",Mazda3,Grand Touring,,2006 Mazda Mazda3,"$5,444",,https://www.truecar.com/used-cars-for-sale/listing/JM1BK323661540791/2006-mazda-mazda3/,JM1BK323661540791,2006
,,True Silver Metallic,,Black,"Milwaukee, WI",Mazda,"133,440",CX-7,Sport,,2008 Mazda CX-7,"$5,777",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER293180175378/2008-mazda-cx-7/,JM3ER293180175378,2008
,,Black,,Black,"Madison, WI",Honda,"189,957",Fit,Sport,,2009 Honda Fit,"$3,999",,https://www.truecar.com/used-cars-for-sale/listing/JHMGE87469S017716/2009-honda-fit/,JHMGE87469S017716,2009
,,Red,,,"Mount Horeb, WI",Mazda,"64,082",CX-5,Sport,,2014 Mazda CX-5,"$14,512",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4BE9E0324136/2014-mazda-cx-5/,JM3KE4BE9E0324136,2014
,,Jet Black Mica,,Black,"MADISON, WI",Mazda,"69,289",Mazda6,Touring,,2015 Mazda Mazda6,"$14,577",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1V60F1169923/2015-mazda-mazda6/,JM1GJ1V60F1169923,2015
,,Pearl,,Black,"Madison, WI",Mazda,"43,831",Mazda6,Sport,,2016 Mazda Mazda6,"$14,888",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1U55G1481536/2016-mazda-mazda6/,JM1GJ1U55G1481536,2016
,,Black,,,"Waukesha, WI",Acura,"163,831",TL,4dr Sedan AT Navigation,,2007 Acura TL,"$11,786",,https://www.truecar.com/used-cars-for-sale/listing/19UUA66257A038792/2007-acura-tl/,19UUA66257A038792,2007
,,Polished Metal Metallic,,Ebony,"Milwaukee, WI",Acura,"75,601",RDX,FWD 4dr,,2010 Acura RDX,"$11,995",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB2H21AA002703/2010-acura-rdx/,5J8TB2H21AA002703,2010
,,Palladium Metallic,,Ebony,"Greenfield, WI",Acura,"78,696",TL,4dr Sedan 2WD,,2010 Acura TL,"$12,295",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F24AA006564/2010-acura-tl/,19UUA8F24AA006564,2010
,,Silver Pearl Metallic,,Gray,"Racine, WI",Honda,"208,989",Odyssey,EX-L w/ Rear Entertainment System,,2006 Honda Odyssey,"$3,800",,https://www.truecar.com/used-cars-for-sale/listing/5FNRL38766B004890/2006-honda-odyssey/,5FNRL38766B004890,2006
,,Gold,,Tan,"Glendale, WI",Honda,"176,785",Accord,EX,,2003 Honda Accord,"$3,995",,https://www.truecar.com/used-cars-for-sale/listing/JHMCM566X3C022177/2003-honda-accord/,JHMCM566X3C022177,2003
,,Blue,,Gray,"Racine, WI",Honda,"126,930",Civic,LX,,2003 Honda Civic,"$4,300",,https://www.truecar.com/used-cars-for-sale/listing/2HGES15583H587303/2003-honda-civic/,2HGES15583H587303,2003
,,Black,,Black,"Racine, WI",Mazda,"131,113",CX-7,i SV,,2010 Mazda CX-7,"$5,978",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2W58A0311551/2010-mazda-cx-7/,JM3ER2W58A0311551,2010
,,Garnet Red Mica,,Black,"Milwaukee, WI",Mazda,"81,177",MX-5,Base,,2003 Mazda MX-5 Miata,"$6,995",,https://www.truecar.com/used-cars-for-sale/listing/JM1NB353130300381/2003-mazda-mx-5-miata/,JM1NB353130300381,2003
,,Rally White,,Black,"Waukesha, WI",Mazda,"102,486",Mazda3,Grand Touring,,2008 Mazda Mazda3,"$7,720",,https://www.truecar.com/used-cars-for-sale/listing/JM1BK343281816321/2008-mazda-mazda3/,JM1BK343281816321,2008
,,Satin Silver Metallic,,Gray,"Madison, WI",Honda,"131,667",Civic,VP Manual Coupe with Side Airbags,,2005 Honda Civic,"$5,987",,https://www.truecar.com/used-cars-for-sale/listing/1HGEM21385L006926/2005-honda-civic/,1HGEM21385L006926,2005
,,Galaxy Gray Metallic,,Gray,"MADISON, WI",Honda,"90,475",Civic,LX,,2007 Honda Civic,"$6,777",,https://www.truecar.com/used-cars-for-sale/listing/1HGFA16557L006550/2007-honda-civic/,1HGFA16557L006550,2007
,,Red,,Black,"Madison, WI",Honda,"118,749",Accord,EX-L,,2007 Honda Accord,"$6,991",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM66527A049990/2007-honda-accord/,1HGCM66527A049990,2007
,,Gun Metallic,,Charcoal,"Delavan, WI",Nissan,"49,775",Versa,S,,2016 Nissan Versa,"$9,658",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP9GL827899/2016-nissan-versa/,3N1CN7AP9GL827899,2016
,,Brilliant Black,,Black,"Madison, WI",Mazda,"88,380",CX-9,Grand Touring,,2011 Mazda CX-9,"$14,990",,https://www.truecar.com/used-cars-for-sale/listing/JM3TB3DA1B0307506/2011-mazda-cx-9/,JM3TB3DA1B0307506,2011
,,Blue,,Black,"MADISON, WI",Mazda,"51,688",CX-5,Touring,,2016 Mazda CX-5,"$18,777",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4CY9G0614534/2016-mazda-cx-5/,JM3KE4CY9G0614534,2016
,,Silver,,Black,"MADISON, WI",Mazda,"41,226",CX-5,Touring,,2016 Mazda CX-5,"$19,577",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4CY1G0737874/2016-mazda-cx-5/,JM3KE4CY1G0737874,2016
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"121,365",TSX,Automatic with Technology Package,,2012 Acura TSX,"$12,786",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F64CC005065/2012-acura-tsx/,JH4CU2F64CC005065,2012
,,Black,,,"Milwaukee, WI",Acura,"99,011",TL,4dr Sedan Man SH-AWD Tech,,2010 Acura TL,"$12,869",,https://www.truecar.com/used-cars-for-sale/listing/19UUA9E59AA007999/2010-acura-tl/,19UUA9E59AA007999,2010
,,Basque Red Pearl,,Taupe,"Milwaukee, WI",Acura,"70,223",TSX,Automatic,,2012 Acura TSX Sport Wagon,"$13,599",,https://www.truecar.com/used-cars-for-sale/listing/JH4CW2H5XCC003447/2012-acura-tsx-sport-wagon/,JH4CW2H5XCC003447,2012
,,Black,,,"Brookfield, WI",Honda,"138,574",Accord,EX-L,,2005 Honda Accord,"$4,500",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM72645A002543/2005-honda-accord/,1HGCM72645A002543,2005
,,Blue,,Black,"Milwaukee, WI",Honda,"146,189",Element,DX,,2003 Honda Element,"$4,704",,https://www.truecar.com/used-cars-for-sale/listing/5J6YH18273L003417/2003-honda-element/,5J6YH18273L003417,2003
,,Blue,,Black,"Milwaukee, WI",Honda,"165,139",Civic,LX,,2008 Honda Civic,"$4,720",,https://www.truecar.com/used-cars-for-sale/listing/1HGFA16578L087987/2008-honda-civic/,1HGFA16578L087987,2008
,,Red,,Graystone,"Greenfield, WI",Mazda,"95,231",Tribute,Touring,,2010 Mazda Tribute,"$7,889",,https://www.truecar.com/used-cars-for-sale/listing/4F2CY0C7XAKM04525/2010-mazda-tribute/,4F2CY0C7XAKM04525,2010
,,Silver,,,"Racine, WI",Mazda,"61,887",MX-5,Base,,2004 Mazda MX-5 Miata,"$7,990",,https://www.truecar.com/used-cars-for-sale/listing/JM1NB353440407703/2004-mazda-mx-5-miata/,JM1NB353440407703,2004
,,Red,,,"Madison, WI",Honda,"168,275",CR-V,EX,,2006 Honda CR-V,"$6,995",,https://www.truecar.com/used-cars-for-sale/listing/JHLRD78876C008153/2006-honda-cr-v/,JHLRD78876C008153,2006
,,Tango Red Pearl,,Ivory,"Madison, WI",Honda,"181,586",CR-V,EX,,2009 Honda CR-V,"$7,499",,https://www.truecar.com/used-cars-for-sale/listing/3CZRE485X9G705231/2009-honda-cr-v/,3CZRE485X9G705231,2009
,,Magnetic Gray,,Black,"Madison, WI",Nissan,"112,475",Versa,1.8 S,,2009 Nissan Versa,"$3,895",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC13E59L466264/2009-nissan-versa/,3N1BC13E59L466264,2009
,,White,,Dusk,"Milwaukee, WI",Nissan,"114,551",Altima,XE,,2001 Nissan Altima,"$1,999",,https://www.truecar.com/used-cars-for-sale/listing/1N4DL01D31C231779/2001-nissan-altima/,1N4DL01D31C231779,2001
,,Super Black,,Charcoal,"Delavan, WI",Nissan,"46,301",Versa,S,,2016 Nissan Versa,"$9,841",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP9GL841379/2016-nissan-versa/,3N1CN7AP9GL841379,2016
,,Gray,,Black,"Delavan, WI",Nissan,"104,980",Juke,SV,,2013 Nissan Juke,"$10,498",,https://www.truecar.com/used-cars-for-sale/listing/JN8AF5MV9DT214175/2013-nissan-juke/,JN8AF5MV9DT214175,2013
,,Red Brick,,,"Janesville, WI",Nissan,"42,013",Sentra,S,,2014 Nissan Sentra,"$10,999",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXEL680652/2014-nissan-sentra/,3N1AB7APXEL680652,2014
,,Blue,,Black,"MADISON, WI",Mazda,"43,755",Mazda6,Grand Touring,,2016 Mazda Mazda6,"$19,577",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1W52G1412090/2016-mazda-mazda6/,JM1GJ1W52G1412090,2016
,,Soul Red Metallic,,Black W/Red Stitching,"Madison, WI",Mazda,"9,262",MX-5,Grand Touring,,2016 Mazda MX-5 Miata,"$20,000",,https://www.truecar.com/used-cars-for-sale/listing/JM1NDAD7XG0119529/2016-mazda-mx-5-miata/,JM1NDAD7XG0119529,2016
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"75,262",ILX,5-Speed Automatic with Premium Package,,2013 Acura ILX,"$14,786",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F57DE011644/2013-acura-ilx/,19VDE1F57DE011644,2013
,,Polished Metal Metallic,,Ebony,"Waukesha, WI",Acura,"46,656",ILX,Hybrid with Technology Package,,2013 Acura ILX,"$14,928",,https://www.truecar.com/used-cars-for-sale/listing/19VDE3F76DE300334/2013-acura-ilx/,19VDE3F76DE300334,2013
,,Royal Blue Pearl,,Black,"Milwaukee, WI",Honda,"211,958",Accord,EX-L,,2007 Honda Accord,"$4,880",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM56817A207269/2007-honda-accord/,1HGCM56817A207269,2007
,,Green,,Gray,"Mt Pleasant, WI",Honda,"280,220",Pilot,LX,,2006 Honda Pilot,"$4,990",,https://www.truecar.com/used-cars-for-sale/listing/5FNYF18196B024425/2006-honda-pilot/,5FNYF18196B024425,2006
,,,,,"Brookfield, WI",Mazda,"78,120",Mazda3,I Sport,,2010 Mazda Mazda3,"$7,991",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1SF9A1263283/2010-mazda-mazda3/,JM1BL1SF9A1263283,2010
,,Black Cherry Metallic,,Black,"Milwaukee, WI",Mazda,"74,606",Mazda6,I Sport,,2011 Mazda Mazda6,"$7,995",,https://www.truecar.com/used-cars-for-sale/listing/1YVHZ8BH3B5M07157/2011-mazda-mazda6/,1YVHZ8BH3B5M07157,2011
,,Liquid Silver Metallic,,Black,"Milwaukee, WI",Mazda,"58,582",Mazda3,Grand Touring,,2010 Mazda Mazda3,"$7,995",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1SF1A1280689/2010-mazda-mazda3/,JM1BL1SF1A1280689,2010
,,Blue,,,"Madison, WI",Honda,"123,810",Odyssey,EX,,2006 Honda Odyssey,"$7,875",,https://www.truecar.com/used-cars-for-sale/listing/5FNRL38476B025575/2006-honda-odyssey/,5FNRL38476B025575,2006
,,Black,,Black,"Madison, WI",Honda,"88,234",Civic,EX,,2007 Honda Civic,"$7,949",,https://www.truecar.com/used-cars-for-sale/listing/2HGFG12857H516215/2007-honda-civic/,2HGFG12857H516215,2007
,,Magnetic Gray Metallic,,Charcoal,"Madison, WI",Nissan,"161,051",Versa,S,,2007 Nissan Versa,"$3,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC13E97L419784/2007-nissan-versa/,3N1BC13E97L419784,2007
